song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
FLIP THE SWITCH (feat. Drake),81,156195,0.129,0.853,0.637,0.0,3,0.267,-5.924,0,0.331,86.04799999999999,4,0.496
La fiesta,33,220419,0.00208,0.72,0.917,1.27e-05,1,0.349,-3.304,1,0.0406,127.011,4,0.642
1950,83,225133,0.648,0.6,0.535,4.7e-06,4,0.162,-7.042999999999999,1,0.107,71.91199999999999,4,0.2689999999999999
Leave Me Alone,69,195637,0.107,0.792,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742
Chan Chan,69,257737,0.8420000000000001,0.506,0.433,0.0311,2,0.1119999999999999,-14.183,0,0.0345,83.22200000000001,4,0.6409999999999999
Hedonism (Just Because You Feel Good),51,207360,0.0874,0.563,0.536,0.000105,10,0.1639999999999999,-9.488,1,0.0286,81.094,4,0.312
Oregon,54,265386,0.632,0.5329999999999999,0.612,0.902,0,0.172,-13.955,1,0.0438,118.003,4,0.162
American Girl,72,214733,0.4479999999999999,0.55,0.8240000000000001,0.000127,2,0.366,-5.988,1,0.0334,114.512,4,0.777
I Know You Want Me (Calle Ocho),7,238680,0.0151,0.815,0.757,5.260000000000001e-05,2,0.187,-5.351,1,0.165,127.052,4,0.8109999999999999
Sunflower - Spider-Man: Into the Spider-Verse,66,158053,0.541,0.757,0.501,0.0,2,0.0718,-5.593,1,0.0466,89.931,4,0.91
Hamzabon,18,288506,0.754,0.6829999999999999,0.685,0.0,7,0.138,-5.472,0,0.0712,126.363,4,0.748
I'm on Fire,72,155880,0.589,0.62,0.446,0.0299,1,0.0727,-14.451,0,0.0347,88.59100000000001,4,0.868
How You Feel,70,274532,0.921,0.248,0.293,0.0291,2,0.0954,-11.598,1,0.033,169.78400000000002,4,0.04
Far Away,34,216279,0.866,0.619,0.5660000000000001,0.00419,3,0.107,-9.424,0,0.315,85.852,4,0.205
Nos Fuimos Lejos (feat. El Micha & RedOne) - Arabic Version,59,206806,0.0559,0.7,0.913,0.0,7,0.353,-2.467,1,0.0617,94.009,4,0.755
please don't give up on me,46,77661,0.943,0.6829999999999999,0.295,0.8540000000000001,11,0.103,-9.904,1,0.0305,99.011,4,0.0612
Best Years,60,287272,0.0618,0.8859999999999999,0.57,0.0,6,0.0586,-7.353,0,0.171,132.001,4,0.5379999999999999
Somebody,71,223146,0.186,0.532,0.616,0.0,10,0.0928,-7.074,0,0.0328,101.883,4,0.292
Royals,80,190185,0.106,0.616,0.432,0.0,7,0.132,-9.546,1,0.133,84.77799999999999,4,0.302
Tiger Striped Sky,23,241720,0.947,0.482,0.183,0.0099,2,0.108,-15.931,1,0.0364,139.863,4,0.16
This Old Heart Of Mine (Is Weak For You) - Single Version,55,175893,0.377,0.601,0.636,0.0,5,0.148,-7.447,1,0.0322,130.594,4,0.8640000000000001
6ix Flags,44,222400,0.0791,0.659,0.615,0.0,2,0.172,-9.232,1,0.327,149.877,4,0.589
Wokman,0,189746,0.0855,0.763,0.735,0.0,1,0.0484,-6.609,1,0.196,112.404,4,0.934
Backbone,17,164905,0.0987,0.621,0.6,0.0,10,0.111,-7.055,0,0.542,139.872,4,0.517
You Can Call Me Al,75,280000,0.182,0.7759999999999999,0.763,0.0065,5,0.077,-8.124,1,0.0535,128.433,4,0.82
Laisse tomber les filles,54,127160,0.557,0.659,0.57,1.42e-06,2,0.2,-12.29,1,0.0321,132.727,4,0.962
She Love It When I,28,198600,8.08e-05,0.715,0.732,0.948,10,0.4639999999999999,-8.971,0,0.0565,99.036,4,0.0448
Dast Negah Dar,7,195056,0.986,0.381,0.456,0.916,7,0.345,-14.043,1,0.0681,113.403,4,0.914
Qué Hay de Malo,55,298640,0.598,0.735,0.61,0.0,1,0.0541,-8.635,1,0.0439,91.951,4,0.789
Preacher Man,60,219389,0.00209,0.6890000000000001,0.947,0.0,1,0.228,-3.926,1,0.0897,119.993,4,0.3929999999999999
My Friends Over You,63,220200,0.000291,0.3979999999999999,0.978,0.0,2,0.0947,-4.001,1,0.133,177.797,4,0.441
Be Faithful,56,165480,0.000963,0.6459999999999999,0.716,0.0,7,0.368,-6.474,1,0.294,101.173,4,0.616
Mo Money Mo Problems (feat. Mase & Puff Daddy) - 2014 Remastered Version,76,257399,0.0128,0.845,0.884,2.1e-06,6,0.203,-4.506,0,0.0759,104.536,4,0.904
sunday,50,96000,0.9,0.6829999999999999,0.103,0.308,9,0.076,-12.762,0,0.0567,79.99,4,0.1969999999999999
Me vs. Us,47,198948,0.145,0.741,0.555,0.000172,0,0.183,-8.087,1,0.044,119.971,4,0.447
Fever To The Form,66,251184,0.789,0.3429999999999999,0.539,0.157,0,0.108,-9.72,0,0.0297,142.065,4,0.228
Relax and Mambo,1,192464,0.902,0.6890000000000001,0.382,0.672,10,0.0784,-12.164,0,0.0444,123.342,4,0.488
Beast Of Burden - Remastered,73,265173,0.387,0.787,0.877,0.00065,1,0.0387,-3.822,0,0.032,100.61,4,0.8370000000000001
El Carnaval,58,223240,0.00297,0.802,0.625,0.00156,11,0.175,-8.589,0,0.0567,94.995,4,0.6759999999999999
California Dreaming,50,234774,3.16e-05,0.503,0.967,0.0,7,0.299,-2.492,1,0.176,95.006,4,0.254
Down Under,62,223760,0.0914,0.741,0.8079999999999999,0.0147,11,0.0488,-4.367,0,0.026,107.234,4,0.908
Gaining Purpose,39,231497,0.000121,0.235,0.984,0.257,2,0.0876,-3.998,1,0.135,121.981,4,0.163
No Smoke,63,180013,0.00614,0.764,0.497,0.0,0,0.14,-9.648,1,0.148,119.929,4,0.0701
Walking In Memphis,70,252613,0.547,0.5670000000000001,0.512,0.0,0,0.296,-8.831,1,0.0357,130.269,4,0.3339999999999999
"City Of Stars - From ""La La Land"" Soundtrack",69,149706,0.899,0.492,0.1159999999999999,1.93e-06,2,0.0889,-15.15,0,0.0379,111.787,4,0.434
Holocene,72,336613,0.943,0.375,0.304,0.303,1,0.126,-14.52,1,0.0302,147.989,4,0.147
Addictive,18,226146,0.0892,0.7,0.6729999999999999,0.000145,11,0.179,-6.67,0,0.17,99.274,4,0.3379999999999999
Oh My God,55,208840,0.0327,0.866,0.698,0.0187,10,0.108,-7.976,0,0.272,94.64,4,0.713
No Diga Más,37,203673,0.3329999999999999,0.637,0.928,0.00306,7,0.614,-4.795,1,0.341,136.0,4,0.5920000000000001
Build Me Up Buttercup,73,177533,0.313,0.66,0.512,0.0,0,0.283,-7.183,1,0.0294,133.607,4,0.852
Nuestra Cancion Pt. 2 (feat. Arcángel),46,215003,0.0079,0.493,0.825,0.0,8,0.129,-4.056,1,0.0798,99.866,4,0.621
Ctrl Alt Del,52,177133,0.778,0.642,0.237,2.26e-05,9,0.11,-11.96,1,0.335,78.336,1,0.108
Freaks - Radio Edit,45,168746,0.0175,0.883,0.972,0.321,4,0.221,-0.828,1,0.136,128.134,4,0.746
The Scientist,86,309600,0.727,0.56,0.442,1.7100000000000002e-05,5,0.11,-7.224,1,0.0243,146.44799999999998,4,0.212
You Deserve Better,75,207773,0.0322,0.516,0.56,0.0,6,0.15,-7.1160000000000005,0,0.486,98.94,4,0.696
Para Bailar - Alika Y Nueva Alianza Remix,37,205453,0.106,0.8190000000000001,0.883,0.00419,10,0.0538,-2.56,0,0.0628,93.986,4,0.973
Panopticon,45,203244,0.000814,0.568,0.6509999999999999,0.000112,5,0.0774,-7.093999999999999,0,0.0394,89.98,4,0.8809999999999999
Untitled,1,135706,0.906,0.573,0.2,0.0,9,0.134,-9.567,1,0.0805,121.255,4,0.3329999999999999
Better With You,68,196018,0.265,0.784,0.437,6.979999999999999e-05,5,0.126,-7.867999999999999,1,0.0509,90.00299999999999,4,0.47
Hold the Line,77,235800,0.0397,0.494,0.698,0.00634,6,0.152,-12.049,0,0.0553,95.842,4,0.778
Girls Go La (feat. Ale Blake) - Radio,2,191666,0.0195,0.599,0.812,0.0362,8,0.0996,-5.876,0,0.0451,125.922,4,0.3229999999999999
My Hero,62,258973,6.01e-05,0.364,0.925,0.000251,4,0.0603,-4.224,1,0.0659,153.981,4,0.301
PASS OUT (feat. 21 Savage),85,224903,0.0403,0.917,0.7859999999999999,0.0,11,0.195,-4.921,0,0.208,143.03799999999998,4,0.441
Dancing With Myself,66,359733,0.0157,0.51,0.696,0.000104,4,0.297,-10.83,1,0.0802,176.567,4,0.905
Cuando Me Enamoro,68,200346,0.0142,0.8220000000000001,0.799,2.71e-05,1,0.1669999999999999,-3.612,1,0.0278,126.04,4,0.902
Eyes,57,185030,0.89,0.498,0.3929999999999999,2.71e-06,6,0.132,-5.912000000000001,1,0.0273,89.71799999999999,4,0.2269999999999999
4 Gold Chains - (feat. Clams Casino),69,209106,0.853,0.313,0.426,0.00037,8,0.181,-9.049,1,0.0435,95.159,4,0.107
The Promise,59,327866,0.703,0.496,0.0975,0.000714,1,0.0951,-17.234,1,0.0318,141.39700000000002,4,0.36
All Eyes on Me,44,258106,0.0143,0.7,0.684,0.0,1,0.073,-6.393,1,0.0725,95.169,4,0.48
Purple T Shirts,43,197005,0.6759999999999999,0.589,0.6509999999999999,0.674,8,0.191,-7.107,0,0.0957,83.829,4,0.34
I'm Still Here,75,241910,0.00697,0.437,0.7190000000000001,3.86e-05,6,0.0765,-4.569,0,0.0376,169.976,4,0.284
Love Runs Out,63,224226,0.1669999999999999,0.7190000000000001,0.935,0.0,7,0.0973,-3.752,1,0.0589,120.022,4,0.738
rosegold,46,254400,0.8390000000000001,0.648,0.168,0.036,0,0.195,-12.875,1,0.0311,99.974,4,0.0928
Could've Been (feat. Bryson Tiller),79,248466,0.64,0.545,0.33,7.000000000000001e-06,1,0.22,-11.719,0,0.1639999999999999,103.553,4,0.3989999999999999
Come with Me Now,71,211960,0.0311,0.654,0.726,6.35e-05,10,0.0618,-3.803,0,0.0401,103.987,4,0.728
First Flower,52,212000,0.991,0.2019999999999999,0.00402,0.901,8,0.275,-28.875,1,0.0445,74.234,4,0.0975
Get Dripped (feat. Playboi Carti),0,158769,0.0987,0.955,0.492,0.0,8,0.417,-8.443999999999999,1,0.395,130.062,4,0.904
Goodbye (feat. Nicki Minaj & Willy William),91,195419,0.0776,0.643,0.904,0.0,0,0.1889999999999999,-3.694,1,0.0739,103.028,4,0.481
Ambition (feat. Meek Mill & Rick Ross),60,302546,0.3979999999999999,0.42,0.7440000000000001,8.54e-06,8,0.192,-5.033,1,0.396,161.792,4,0.324
Lost in the Mix,32,381176,0.0087,0.733,0.7979999999999999,0.7240000000000001,9,0.0555,-6.392,0,0.0506,140.037,4,0.489
Fo'Sho,50,108946,0.3,0.917,0.434,0.0275,0,0.0856,-9.142,1,0.209,139.92600000000002,4,0.444
All I Need,3,224918,0.0084099999999999,0.527,0.8809999999999999,0.00132,0,0.3,-6.227,1,0.0459,135.055,4,0.4629999999999999
Lean on Me,57,157280,0.532,0.607,0.4579999999999999,0.0,9,0.104,-7.56,1,0.0503,91.089,4,0.494
123,73,190280,0.0901,0.7070000000000001,0.674,0.0,1,0.115,-5.577999999999999,1,0.177,95.02,4,0.928
Priice Tag,63,110768,0.0296,0.944,0.952,0.000338,9,0.0945,-4.718,1,0.147,139.965,4,0.908
Lil Booties Matter,54,193693,0.0445,0.863,0.701,0.0,5,0.482,-5.95,0,0.265,100.973,4,0.8540000000000001
Luv,30,195620,0.302,0.759,0.642,0.00121,5,0.123,-10.477,0,0.061,120.01,4,0.716
Who Am I (What's My Name)?,72,246320,0.000136,0.6920000000000001,0.833,1.98e-05,7,0.515,-3.974,1,0.0492,96.814,4,0.6920000000000001
99 Luftballons,72,233000,0.089,0.466,0.4379999999999999,5.62e-06,4,0.113,-12.858,1,0.0608,193.1,4,0.5870000000000001
Bloggers,48,241005,0.00058,0.792,0.624,0.0139999999999999,1,0.178,-7.233,1,0.0693,128.509,4,0.1889999999999999
Corpo Sensual,54,170649,0.119,0.7170000000000001,0.918,0.0,0,0.0751,-2.638,1,0.0482,153.983,4,0.962
Wya?,63,124231,0.437,0.866,0.42,0.0,11,0.0733,-12.025,0,0.437,85.005,4,0.191
Cryo Enemy,30,184485,0.00521,0.597,0.635,0.902,3,0.087,-10.623,0,0.0393,129.989,4,0.358
9 to 5,47,216754,0.547,0.718,0.45,0.00817,6,0.103,-12.02,1,0.2239999999999999,167.982,4,0.244
Birthday Bitch,61,197466,0.000938,0.963,0.677,0.000103,0,0.171,-9.806,1,0.114,102.482,4,0.503
Higher,1,253965,0.149,0.605,0.684,0.154,5,0.146,-6.024,0,0.0587,100.985,1,0.0939
Sexy Boy,59,298466,0.0011099999999999,0.435,0.6509999999999999,0.609,0,0.111,-6.152,1,0.0288,111.896,4,0.206
I Want You Back,60,180893,0.466,0.674,0.584,0.00195,8,0.187,-8.204,1,0.0318,98.293,4,0.96
I'm Yours,86,242186,0.595,0.6859999999999999,0.457,0.0,11,0.105,-8.322000000000001,1,0.0468,150.953,4,0.718
Tight Fittin' Jeans,51,170266,0.22,0.7,0.56,6.74e-05,9,0.13,-11.251,1,0.051,102.286,4,0.841
Girlfriend,48,243896,0.144,0.74,0.7,0.0,5,0.129,-5.229,0,0.0709,133.016,4,0.7809999999999999
Procuro Olvidarte,29,242133,0.29,0.603,0.7979999999999999,0.00147,11,0.129,-6.337999999999999,0,0.0323,79.999,4,0.727
What You Want,62,267603,0.115,0.509,0.7440000000000001,1.33e-05,8,0.135,-4.936,0,0.074,152.262,4,0.415
In Your Eyes,13,329013,0.0623,0.636,0.7240000000000001,6.62e-06,11,0.0973,-7.327999999999999,0,0.0367,89.319,4,0.632
Bodak Yellow,76,223962,0.0672,0.929,0.723,0.0,11,0.346,-5.792000000000001,0,0.109,125.022,4,0.4579999999999999
SOULFLY,41,203182,0.0701,0.642,0.507,7.75e-05,10,0.122,-9.686,0,0.162,89.84100000000001,4,0.489
X,56,255640,0.0795,0.936,0.6779999999999999,0.0,4,0.0838,-3.012,0,0.21,96.911,4,0.8220000000000001
Holocene,72,336613,0.943,0.375,0.304,0.303,1,0.126,-14.52,1,0.0302,147.989,4,0.147
Sleepless,59,155041,0.995,0.493,0.0637,0.922,7,0.102,-21.522,1,0.0757,77.899,4,0.0694
Two Weeks,70,243160,0.289,0.537,0.7120000000000001,0.0056799999999999,5,0.08,-5.597,1,0.0286,159.871,4,0.7040000000000001
17 - 6am Remix,65,263887,0.0039299999999999,0.71,0.625,0.471,8,0.318,-8.331,1,0.0346,120.023,4,0.139
A Song With No Name,62,243042,0.8740000000000001,0.534,0.127,0.774,6,0.1119999999999999,-15.385,1,0.0358,128.368,4,0.181
Starchild,53,190152,0.125,0.503,0.615,0.00014,10,0.0881,-6.545,0,0.2319999999999999,82.53299999999999,4,0.494
New Patek,90,343099,0.0367,0.85,0.785,0.0,8,0.155,-4.963,0,0.345,145.063,4,0.718
Let Her Go,78,252866,0.385,0.509,0.5379999999999999,0.0,7,0.104,-7.335,1,0.0572,75.089,4,0.244
Facts Of Love,41,271240,0.0642,0.752,0.7509999999999999,0.0014199999999999,8,0.278,-6.281000000000001,0,0.043,106.8,4,0.963
Con Silenciador,70,174827,0.509,0.96,0.82,1.73e-05,1,0.123,-3.13,1,0.2189999999999999,116.048,4,0.363
Nuestro Dia Ya Viene Llegando,32,352480,0.58,0.352,0.919,1.7899999999999998e-05,9,0.7070000000000001,-6.499,0,0.0548,173.861,4,0.5529999999999999
My Jeans (Lil Baby & Gunna feat. Young Thug),75,196447,0.118,0.624,0.72,0.0,11,0.54,-5.894,1,0.139,100.613,5,0.354
Time of Our Lives,79,229360,0.0921,0.72,0.802,0.0,1,0.6940000000000001,-5.797000000000001,1,0.0582,124.043,4,0.723
Lágrimas,28,223040,0.628,0.6509999999999999,0.718,0.000988,0,0.386,-7.477,1,0.031,97.502,4,0.706
XIBAL,54,172471,0.264,0.779,0.5670000000000001,0.0,7,0.241,-7.269,1,0.0464,103.022,4,0.826
Riders In The Sky,26,141946,0.71,0.588,0.37,0.0,1,0.139,-13.494000000000002,0,0.0341,126.409,4,0.7390000000000001
Lick It,66,216960,0.00596,0.8,0.843,0.119,4,0.108,-1.611,1,0.0633,124.989,4,0.644
Suncity (feat. Empress Of),41,189493,0.0998,0.6940000000000001,0.63,0.0006349999999999,7,0.12,-6.84,0,0.162,90.045,4,0.341
Don't Take It Away - Single Version,32,221400,0.5770000000000001,0.7090000000000001,0.295,0.0,4,0.248,-16.319000000000003,1,0.0753,88.36399999999999,4,0.496
Drown,70,234055,0.455,0.674,0.615,0.00091,0,0.208,-8.187999999999999,1,0.147,85.04799999999999,4,0.7559999999999999
Kiss and Make Up,55,189173,0.0658,0.6779999999999999,0.7290000000000001,0.0,8,0.303,-4.188,1,0.1369999999999999,99.895,4,0.643
The Heart Of Me,51,239880,0.208,0.58,0.8320000000000001,0.00103,5,0.299,-3.934,1,0.0313,101.972,4,0.5579999999999999
Shrike,72,300706,0.4639999999999999,0.387,0.278,0.00527,7,0.102,-8.454,0,0.0318,153.42600000000002,3,0.0632
Rivers and Roads,59,284000,0.6990000000000001,0.494,0.1939999999999999,2.98e-05,0,0.0803,-8.965,1,0.0352,135.753,3,0.161
I'm a Mess,74,195519,0.00281,0.63,0.6940000000000001,0.0,11,0.0719,-6.257000000000001,0,0.0253,97.005,4,0.216
My Girl,80,165000,0.625,0.579,0.419,0.0,0,0.0981,-10.72,1,0.0346,104.564,4,0.6729999999999999
do re mi,4,212027,0.00517,0.747,0.5920000000000001,1.4800000000000002e-05,8,0.124,-6.334,1,0.0457,110.991,3,0.176
Fun With It,59,205061,0.407,0.7509999999999999,0.764,0.0,2,0.293,-5.388,1,0.377,141.534,4,0.856
Take Me Down,33,223120,0.198,0.748,0.281,9.88e-05,0,0.0831,-12.665,1,0.0678,93.994,4,0.489
Summer Of '69,80,216053,0.0183,0.508,0.8340000000000001,0.0,2,0.0732,-6.205,1,0.0386,139.131,4,0.774
